rest_id,rest_name
19875553,Grill Hut
19142873,Lavonne
20385710,The Kebabwalla
18560378,Happy Belly Bakes
18608992,Chinita Real Mexican Food
51293,Plan B
20308272,Login 2 Eat
18761190,Sri Krishna Nanda Gokul Veg Restaurant
19531955,Copper Chimney
19443494,The Coorg Food Co.
19924111,FoodX Restaurant
20039421,Paratha Plaza
19050179,Arabian Hot Spot
20371530,Steve's Fast Food
51162,Taste Of Tibet
50143,Bhojohori Manna
19258270,Rajhans
19356087,The Tea Brewery
20365734,Shyamji's Chole Bhature
51703,Pizza Stop
19807646,Brindavan Upachar
19344527,The Salad Studio
19434378,Kabab Magic Roll
18612159,New Green Gardenia
18856663,Sri Basaveshwara Khanavali
53701,Saffron Vegetarian Cuisine
19184901,Foodism.in
19491612,The Baklava Company
18522066,Not Just Parathas
19759074,Chaat Point
50046,Anupam's Coast II Coast
18886088,Artinci - Indulge Guilt Free!
19134813,Saapad Raman
51008,The Only Place
19195137,Mamagoto
18494064,MISU
19548796,Jalandhar Junction
19007121,Hyderabad Biryani Zone
19204974,Simply Andhra
20016808,Appu's Donne Biryani
20343317,Pizza House
19787484,Sendhoor Nataraaj Restaurant
20053362,Homely MealBox
18731077,Kartiks Mithai Shoppe
20011087,Dairy Day Ice Creams
19818481,Paratha Box by EatFit
20256771,Puliyogare Palace
18855979,Arabian Mataam
19778885,B Track
19628715,Coastal Machali Co.
18048240,Hotel Green Tara
19295897,Maedah
19238530,Gudbud
20058381,Mane Holige
19287321,Nando's
19782182,Layer Bites
20241889,Nomad Pizza - Traveller Series
19328272,Sundae Everyday Ice Creams
19841494,HRX by EatFit
18741136,Rannaghar
20425754,Hyderabad Biryaani House
20255058,Lhenzom Tibetan Restaurant
54656,Yak's Kitchen
18590944,The Mangalorean
19455314,Maalgaadi By Dhaba Estd 1986 Delhi
20110064,Sarathi Kitchen
20129612,Mr. Momo
19456585,Fabelle Chocolates - WelcomHotel By ITC Hotels
18435689,Manasa Fishland
51842,Hotel Shangrila
60035,New Krishna Sagar
18997939,Sri Krishna Nandagokula Veg
18803499,Porkeats
20266673,Baking Bad
19114785,DA Ying Yang Cuisines
20135110,A1 99 Veriety Dosa Corner
51067,Fujan
20337389,Wat-a-Burger! India Ka Burger
19599411,Bengali Dhekur
50879,Sea Rock
19420988,Roti Curry & Co
20081456,Bowl Soul
19966301,The Noodle Theory
19816652,The Sugar Free Keto Kafe - Artinci
20290365,Bidadi Thatte Idli
56036,Kolkataz
18669271,Zamindar
19453980,Drunken Monkey
19697131,Connie's Steakhouse Kitchen
18607690,Naachiyar's
19817715,Goli Vada Pav No 1
19282616,Kanti Sweets
61705,Cream Stone
19524762,Natraj Chole Bhature
18923303,Sri Udupi Grand
18894358,Cravisthan
19576181,Fabelle Chocolates - ITC Green Center
56645,Midnight Hunger Solutions 24/7
19005773,Amul Ice Cream Parlour
19682965,Elixir-Luxury Pearls Drink
19666854,The Tasty Planet
19283167,JIANG Pure Veg
57563,Vinay Upahar
58810,Tewari Bros Mithai Shoppie
19596182,Copper + Cloves @ The Organic World
19162674,SLV Grand
19616209,Pass Me The Curry
19216084,Too Much Chutney
54470,Vapour Pub & Brewery
52507,Munchies
19847506,Voosh Desi Parathas
19857971,Chota Hussain
19644959,The Jalsa
19177302,Chaat Paavlian
19176079,BIB - Breakfast In The Box
19911640,"Biryanist, The Club"
19910251,Tasty Fast Food
19887622,Hokart - Sri Sai Durga 99 Variety Dosa
19793827,Mumbai 99 Variety Dosa Special
19684480,Brown Burger Co
19358935,Euphoria Bakers
19426982,Kavuni Kitchen
19656290,Potli B
19454131,One Two Cafe
19388732,Amrutha Sweets
19206139,Britalian
19751797,Tiara's Eats
19853011,Thalassery Juice World
19707437,Cafe Inn
19887501,Tiny Cafe
19821370,Cafe Igniite
19412802,Dilkhush Mukhwas
19791538,Shawarma Social
19805762,Dinesh Food Corner
19896507,Tindi_Biryani
19807128,Yohan Kitchen
19762254,The Arabs
19902572,Kerela Nandan
19902629,The Nawab Kitchen
19914420,Arabian Kabza House
19836876,Swamy's Naati Kitchen
19776128,Neriah
19902529,Bengali Bhoj
58118,Sandhya Veg
50499,i-Bar - The Park Bangalore
51344,Cafe Idly
18631077,Caraway Kitchen - Conrad Bengaluru
18540100,Brahmin Home Food
18163847,All Saints Bakery
18597030,Crispy Crust Pizza
19505893,Churmur Chaat Company
19543623,Sri Manjunatha Tiffin Centre
18984266,Marine Sea Food
19639917,Bangalore Thindies
19635618,Chikkanna Tiffin Room
19639090,Knead-O Breads
19575646,The Burger Hub
19607147,Meera's Kitchen Home Made
19326575,Sri Ganesh Darshini
