name,locality,lat,long,review
Momo Zone - The Momo Company,"2/4 Khatha 94, 17th Cross, K R Puram, East Taluk, Hobli, Kaggadaspura Main Road, Kaggadasapura, Bangalore",12.9842220000,77.6782240000,237
Just Shawarma,"133, 5th Main Road, St. Thomas Town, Inasappa Layout, Kalyan Nagar, Bangalore",13.0157736206,77.6392073929,76
IDC Kitchen,"8, 1st Main, 8th Cross, Sampangiramanagar, Sri Rammandir Road, Residency Road, Bangalore",12.9659398856,77.5945318490,31
Donne Biriyani Mane,"PR Building, Nagavara Palya Main Road, CV Raman Nagar, Bangalore",12.9922521702,77.6639517769,32
Sweet Truth - Cake and Desserts,"Shop 1, Maruti Sankeema, HAL Third Stage, New Thippasandra Main Road, Thippasandra, Bangalore",12.9712596108,77.6584042981,740
ibaco,"121, Civil Station, Wood Street Junction, Brigade Road, Bangalore",12.9677287139,77.6066309586,107
Itminaan Matka Biryani - Slow Cooked,"Lower Ground 1, Smart Avenue, 80 Feet Road, Indiranagar, Bangalore",12.9806060000,77.6463760000,570
Sreeraj Lassi Bar,"30, K Kamaraj Road, Near Commercial Street, Commercial Street, Bangalore",12.9826635392,77.6107887179,181
Pure Veg Meals By LunchBox,"104, 1st Floor, Connection Point, Old Airport Road, Bangalore",12.9570900000,77.6626000000,43
Hotel Revoli Inn,"88, K H Road, Opposite Shanti Nagar Bus Stop, Shanti Nagar, Bangalore",12.9559767755,77.5920712575,65
GOPIZZA,"Shop T 09, 10/34 Orion East Avenue Mall, Food Court, Banaswadi Main Road, Banaswadi, Bangalore",13.0009569000,77.6325712000,17
Donne Biriyanis Junction,"1st Floor, Near Home Shop Super Market, Kammanahalli, Bangalore",13.0106684904,77.6350657269,874
Pasta Street,"751, 80 Feet Road, Opposite SBI Bank, Koramangala 4th Block, Bangalore",12.9330460261,77.6310799643,4060
New Tandoor,"21, Opposite Syndicate Bank, Kaggadasapura Main Road, CV Raman Nagar, Bangalore",12.9852409081,77.6675026864,276
Daily Sushi,"First Floor, 1/1-1, Museum Road, Shivajinagara, Church Street, Bangalore",12.9757908300,77.6024868300,55
Dum Biryani Adda,"39, 2nd Floor, Opposite I O C Petrol Bunk, Jeevan Bhima Nagar, Bangalore",12.9678698592,77.6544218883,3615
The Filter Coffee,"HRBR Layout, 7th Main Road, Kalyan Nagar, Bangalore",13.0178067580,77.6430312172,936
Zaatar,"1, 2 & 3, HLK 158-159/125-1 & 2, KATHA 215, Mereside Heights Nagavarapalya Village, Benniganahalli Dhakale, K R Puram Hobli, Old Madras Road, Bangalore",12.9959510536,77.6667352423,699
The Dessert Zone,"2/4, Khatha 94, 1st Floor, Kaggadaspura Main Road, Opposite 17th Cross, Kaggadasapura, Bangalore",12.9842220000,77.6782240000,194
Hamza Hotel,"19, HKP Broadway Road, Shivajinagar, Bangalore",12.9860481886,77.6049579307,308
AB's - Absolute Barbecues,"90/4, Outer Ring Road, Marathahalli, Bangalore",12.9498711952,77.6990903297,14867
Khan Saheb Grills and Rolls,"3136, Ground Floor, Sri Shiva Sai Complex, 13th Cross Road, 7th Main Road, HAL 2nd Stage, Off Double Road, Indiranagar, Bangalore",12.9712792140,77.6350965723,1058
Toscano,"Museum Road, The Museum SY - 1, Church Street, Bangalore",12.9749375000,77.6029375000,83
Just Bake,"5, Mosque Road, Opposite HDFC Bank, Frazer Town, Bangalore",12.9962577235,77.6135748625,15
Bucket Biryani,"44, Ground Floor, Castle Street, Ashok Nagar, Brigade Road, Bangalore",12.9671321125,77.6089845970,7
Ghee Tadka Khichdi,"74-8-1308, Ward 74, Shetty Plaza, Hal 3rd Stage, Puttapa Layout, Jeevan Bhima Nagar, Bangalore",12.9681250000,77.6507868000,1627
Apsara Ice Creams,"Shop 2, Ward 83, Nagvarapalya Main Road, B.B.M.P East, CV Raman Nagar, Bangalore",12.9889708410,77.6638045900,391
New Taj Darbar,"32, FM Narhana Road, Opposite Russell Market, Shivajinagar, Bangalore",12.9853641000,77.6052562000,64
Aubree,"Ramanashree Arcade, Old Kids Kemp Building, 18, Craig Park Layout, Ashok Nagar, MG Road, Bangalore",12.9729030110,77.6184883341,30
Absolute Shawarma,"63, HAL 3rd Stage, 4th Cross Road, Opposite Ganesha Temple, Thippasandra, Bangalore",12.9722368308,77.6537898928,54
Suchithra Biryani House,"121, ATR Complex, Murugeshpalya, Opposite ISRO, Old Airport Road, Bangalore",12.9590729528,77.6550951228,360
1522 - The Pub,"65, Shanthala Nagar, Residency Road, Bangalore",12.9730653901,77.6089453697,108
RS Shiv Sagar,"36, 1st Floor, Public Utility Building, MG Road, Bangalore",12.9744970662,77.6100293174,344
Chopstick,"40, Kodihalli Village, Hal 2nd Stage, Jeevan Bhima Nagar, Bangalore",12.9677649000,77.6545273000,688
Mainland China,"14, 1st Floor, Church Street, Bangalore",12.9752155149,77.6039202511,2360
Aligarh House by EatFit,"327, Ground Floor, 4th Cross, OMBR Layout, Banaswadi, Bangalore",13.0084027041,77.6517815888,321
Sangam Sweets,"7, M 227, 2nd Block, Banasawadi HRBR Layout, Kalyan Nagar, Bangalore",13.0189932939,77.6429283067,1
Hotel Fanoos,"17/1, Leonard Lane, Richmond Town, Richmond Road, Bangalore",12.9647509069,77.6064776712,847
Brik Oven,"19, Brigade Garden, Shanti Nagar, Church Street, Bangalore",12.9748603748,77.6053367928,2837
Chaatimes,"Shop 104, Dhavanam Emporium, Mahatma Gandhi Road, Near Cauvery Handicrafts Emporium, Brigade Road, Bangalore",12.9748103872,77.6083472371,1335
Sendhoor Coffee,"58, G1 & G2, Ground Floor, 7th Main, HAL 2nd Stage, Indiranagar, Bangalore",12.9705342947,77.6333655856,171
