rest_id,restaurant,link,cusine,rating,price
61,Biryani Trip - Destination Hyderabad,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-jeevan-bhima-nagar-bangalore/order,"Biryani, South Indian, Mughlai, Andhra, Desserts, Hyderabadi",4.2,₹200 for one
62,Madeena Hotel,https://www.zomato.com/bangalore/madeena-hotel-koramangala-5th-block-bangalore/order,"Biryani, Kebab, North Indian",4.0,₹200 for one
63,Biryani By Kilo,https://www.zomato.com/bangalore/biryani-by-kilo-koramangala-6th-block-bangalore/order,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts",4.2,₹200 for one
64,Anand Sweets And Savouries,https://www.zomato.com/bangalore/anand-sweets-and-savouries-commercial-street-bangalore/order,"Mithai, Street Food, Beverages, Desserts",4.3,₹200 for one
65,Goli Vada Pav,https://www.zomato.com/bangalore/goli-vada-pav-kaggadasapura-bangalore/order,"Street Food, Burger, Fast Food, Ice Cream",3.6,₹200 for one
66,WarmOven Cake & Desserts,https://www.zomato.com/bangalore/warmoven-cake-desserts-kaggadasapura-bangalore/order,"Bakery, Desserts, Ice Cream, Shake",3.9,₹200 for one
67,Nagarjuna,https://www.zomato.com/bangalore/nagarjuna-residency-road/order,"Andhra, Biryani, North Indian",4.3,₹200 for one
68,Kwality Wall’s Frozen Dessert and Ice Cream Shop,https://www.zomato.com/bangalore/kwality-walls-frozen-dessert-and-ice-cream-shop-2-indiranagar-bangalore/order,"Ice Cream, Desserts",4.1,₹200 for one
69,EasyBites by Empire,https://www.zomato.com/bangalore/easybites-by-empire-brigade-road-bangalore/order,"Burger, Fast Food, Beverages",4.1,₹200 for one
70,"Frozen Bottle - Milkshakes, Desserts And Ice Cream",https://www.zomato.com/bangalore/frozen-bottle-milkshakes-desserts-and-ice-cream-airport-road-bangalore/order,"Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food",4.2,₹250 for one
71,Amma's Pastries,https://www.zomato.com/bangalore/ammas-pastries-indiranagar/order,Bakery,4.3,₹250 for one
